reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2017-18,Transmission lines maintenance,Conductors,Route length,km,11295.173239571513,7595.382300091351,41.16846291172276,7.618687225915971,0.0,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,14
2017-18,Transmission lines maintenance,Transmission cables,Route length,km,66.317,66.317,19.08129424728668,0.08801515816034541,1.300198080146275,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,15
2017-18,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,2284.0,434.0,30.172504378283712,0.5,5.223774750012895,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,16
2017-18,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,217.0,207.0,21.83410138248848,0.5,4.774193548387097,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,17
2017-18,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,94.0,92.0,34.680851063829785,0.5851063829787234,0.25,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,18
2017-18,SCADA & network control maintenance,SCADA & network control maintenance,Units,,1961.0,98.0,7.84,,,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,19
2017-18,Protection systems maintenance,Protection systems maintenance,Units,,3183.0,1343.0,15.15,,6.24,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,20
2017-18,Other maintenance activity ,Metering,Units,,837.0,519.0,6.39,2.5,5.0,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,21
2017-18,,Communications,Units,,1918.0,1352.0,6.07,0.5,3.0,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,22
2017-18,Transmission lines maintenance,Transmission towers,Number of towers,0's,13290.0,13290.0,46.1,0.5,Nil. Cond mon.&corr mtce,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,12
2017-18,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,62202.0,62202.0,42.97,0.5,Nil. Cond mon.&corr mtce,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,13
